session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
6270b7e82cc92b2d850213e8,62698063a6912c0277b32f57,APPROVED,2022-05-03 05:04:49.129000,2022-05-03 05:20:59.619000,970.49,27,29,0,100,2022-05-03 07:27:44.874000,7FEF15D8,DATA EXPIRED,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
6270b85a1ac6af2bc98b3f3f,5f97f4079516350204cd190d,APPROVED,2022-05-03 05:06:39.965000,2022-05-03 05:17:05.429000,625.464,24,235,1,100,2022-05-03 07:27:44.984000,7FEF15D8,Philippines,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
627556a57b84667e1cbe1d48,5cead73185712e00190bcf17,RETURNED,2022-05-06 17:21:01.067000,,2407.83557,39,197,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
627557de7e4fb4dabf0f6b7d,610d170f7bb4e720cb85b6b2,AWAITING REVIEW,2022-05-06 17:16:26.149000,2022-05-06 17:31:55.648000,929.499,19,70,0,100,,NOCODE,United States,United States,Due to start a new job within the next month,English,United States,Female,Yes
627557f2a4d61882cd69ee60,594ad91fa6fb8200018f720c,AWAITING REVIEW,2022-05-06 17:16:46.402000,2022-05-06 17:25:10.620000,504.218,23,504,3,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Female,Yes
62755832840f3704a267f50d,61077ba3da257ed1c91281d0,AWAITING REVIEW,2022-05-06 17:17:41.113000,2022-05-06 17:37:34.018000,1192.905,19,106,1,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6275586845ec75d9f41e68cf,61019ecfc479810360afbd54,AWAITING REVIEW,2022-05-06 17:18:35.027000,2022-05-06 17:31:19.752000,764.725,21,64,0,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62755957905f7537a79615d9,62029a68ef1cb18a1337c63e,AWAITING REVIEW,2022-05-06 17:22:40.454000,2022-05-06 17:32:52.210000,611.756,22,1,0,100,,7FEF15D8,DATA EXPIRED,United States,DATA EXPIRED,English,United States,Male,Yes
62755aee115006cfb42d6cf3,5e2f121d76887c011b5ec6c4,AWAITING REVIEW,2022-05-06 17:29:19.387000,2022-05-06 17:37:31.572000,492.185,27,315,1,100,,7FEF15D8,United States,United States,Part-Time,English,United States,Male,No
62755b1ea713a3b1059e3550,614e5da8098985493c989460,AWAITING REVIEW,2022-05-06 17:30:11.905000,2022-05-06 17:47:24.058000,1032.153,62,308,3,99,,7FEF15D8,United States,United States,Part-Time,English,United States,Male,No
62755b8088f7345456b03d34,611eb5db46ee495d60b16aae,AWAITING REVIEW,2022-05-06 17:31:46.657000,2022-05-06 17:52:47.919000,1261.262,46,531,0,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
