session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
62881bcde9de3d9d86e87e40,56ec151f388e1d000a5924d0,AWAITING REVIEW,2022-05-20 22:53:03.976000,2022-05-20 23:12:35.074000,1171.098,36,613,0,100,,7FEF15D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
62881c1f6300bc916c4d2afb,627b0d689d780840df214aee,AWAITING REVIEW,2022-05-20 22:54:27.296000,2022-05-20 23:05:21.263000,653.967,21,13,1,96,,7FEF15D8,United States,United States,Full-Time,White,English,United States,Female,Yes
62881cb7d3c1334bbce76896,5fa19ff29675d12de2935107,AWAITING REVIEW,2022-05-20 22:56:58.461000,2022-05-20 23:11:30.008000,871.547,31,325,2,100,,7FEF15D8,United States,United States,DATA EXPIRED,White,English,United States,Female,DATA EXPIRED
62881d0f5942125cf7133669,60fdd466763872a6e5135b7c,AWAITING REVIEW,2022-05-20 22:58:26.061000,2022-05-20 23:11:04.046000,757.985,26,418,4,99,,7FEF15D8,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
62881d54775a7a0c86abae79,6277dd9a2bc4d3b7f24b8319,AWAITING REVIEW,2022-05-20 22:59:39.885000,2022-05-20 23:15:30.871000,950.986,48,43,0,100,,7FEF15D8,United States,United States,Full-Time,White,English,United States,Female,No
62881e12e4792d5994ae1d97,5e35a96ecf931055fb891c54,AWAITING REVIEW,2022-05-20 23:02:47.305000,2022-05-20 23:24:33.289000,1305.984,41,1547,9,98,,7FEF15D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
62881ee0134dc30876ff293f,5fb9de27e62120924c5b2176,AWAITING REVIEW,2022-05-20 23:06:10.753000,2022-05-20 23:17:01.174000,650.421,58,777,3,100,,7FEF15D8,United States,United States,DATA EXPIRED,White,English,United States,Female,DATA EXPIRED
62881f0e7315fcbef827795e,5fabf9bfaa84e00ccd8961a2,AWAITING REVIEW,2022-05-20 23:07:06.449000,2022-05-20 23:24:12.888000,1026.439,55,1242,6,99,,7FEF15D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
62881f76d33e8fd934122e0d,5dcf5cfcf3b7c209a61477f8,AWAITING REVIEW,2022-05-20 23:08:41.377000,2022-05-20 23:18:41.309000,599.932,29,21,0,100,,7FEF15D8,United States,United States,DATA EXPIRED,White,English,United States,Female,DATA EXPIRED
62881f8a1fcc46f5d246f137,628555bb109cc99491b8f04b,RETURNED,2022-05-20 23:09:05.560000,,20689.67589,18,16,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62881f90be3848fbc4ba9d40,61108c68c7aa8101bf6ad5bf,AWAITING REVIEW,2022-05-20 23:09:09.836000,2022-05-20 23:23:24.691000,854.855,35,178,1,100,,7FEF15D8,United States,United States,DATA EXPIRED,White,English,United States,Female,DATA EXPIRED
62881f9ed41cf35eeb6ada75,5da49efa203c590013533d84,AWAITING REVIEW,2022-05-20 23:09:20.972000,2022-05-20 23:27:03.188000,1062.216,45,525,0,100,,7FEF15D8,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
62881ff1623e4fb124207c7d,604dff87be5115f1266d3963,AWAITING REVIEW,2022-05-20 23:10:46.729000,2022-05-20 23:24:33.296000,826.567,59,820,6,99,,7FEF15D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Male,No
62881ff6b2070bf3b6f3e9a2,60b4f4b34e71c30513ecc1f5,RETURNED,2022-05-20 23:21:00.061000,,19975.247924,32,594,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62882097fe0281940edbab3c,61501967e49a3d7e1977e4b4,AWAITING REVIEW,2022-05-20 23:13:27.705000,2022-05-20 23:30:23.241000,1015.536,74,932,1,100,,7FEF15D8,United States,United States,DATA EXPIRED,White,English,United States,Female,DATA EXPIRED
628820a05acc4055cda79235,615e0ebf1d8fec3d10018efa,AWAITING REVIEW,2022-05-20 23:13:42.170000,2022-05-20 23:26:56.480000,794.31,20,166,1,99,,NOCODE,United States,United States,DATA EXPIRED,White,English,United States,Female,DATA EXPIRED
6288224bc2d2929a823765c5,559385f5fdf99b78e49c58e9,AWAITING REVIEW,2022-05-20 23:20:46.415000,2022-05-20 23:30:26.114000,579.699,35,755,0,100,,7FEF15D8,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
628823e3e132d77e5233caf0,5efe13f00c3da12c9d4fb635,AWAITING REVIEW,2022-05-20 23:27:34.326000,2022-05-20 23:38:36.899000,662.573,39,489,7,97,,7FEF15D8,United States,United States,DATA EXPIRED,White,Italian,United States,Male,DATA EXPIRED
628823eed6796fa4f8cb30a0,5f07a7464989193e97240278,AWAITING REVIEW,2022-05-20 23:27:44.772000,2022-05-20 23:39:00.361000,675.589,28,287,2,98,,7FEF15D8,United States,United States,DATA EXPIRED,White,English,United States,Male,Yes
628824335bcd41f773ad1dd5,610c736500a4b33398fef94f,AWAITING REVIEW,2022-05-20 23:28:54.804000,2022-05-20 23:39:15.339000,620.535,32,201,0,100,,7FEF15D8,United States,United States,Full-Time,White,English,United States,Male,No
628824878497a3da88b52f61,58ac890076c5b70001662993,AWAITING REVIEW,2022-05-20 23:30:18.448000,2022-05-20 23:44:22.998000,844.55,52,1025,3,100,,7FEF15D8,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
628824f33128710370eaa240,5c95887e4c83830010d5311f,RETURNED,2022-05-20 23:32:06.151000,,19309.28758,38,408,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62882554277d0372295f51f0,5e2f95da81f6df558263a6e0,AWAITING REVIEW,2022-05-20 23:33:46.314000,2022-05-20 23:48:29.872000,883.558,20,158,0,100,,7FEF15D8,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
62882569311dc1e01d8ed23d,5be8dab5d153f500019ab320,AWAITING REVIEW,2022-05-20 23:35:01.365000,2022-05-20 23:55:35.852000,1234.487,47,2344,4,100,,7FEF15D8,United States,United States,DATA EXPIRED,White,DATA EXPIRED,United States,Male,DATA EXPIRED
628825ba4e8217510bb06ff9,5de8312c9a9da57b0d318bc4,AWAITING REVIEW,2022-05-20 23:44:36.911000,2022-05-21 00:12:50.064000,1693.153,62,717,2,100,,7FEF15D8,United States,United States,Part-Time,White,English,United States,Male,DATA EXPIRED
62882645e905ee7845caf0fb,5ca60cd95a6f9a0015b2d034,AWAITING REVIEW,2022-05-20 23:37:47.610000,2022-05-20 23:57:34.324000,1186.714,69,2579,12,98,,7FEF15D8,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
6288265abb8eda428f85da18,58578946c41fd90001434680,AWAITING REVIEW,2022-05-20 23:38:07.256000,2022-05-20 23:50:30.038000,742.782,67,1238,1,100,,7FEF15D8,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
628826c5caaa3af4acd622a5,5d1f96b5d028fc00196698f0,AWAITING REVIEW,2022-05-20 23:39:54.237000,2022-05-20 23:54:56.907000,902.67,21,116,1,100,,7FEF15D8,United States,United States,Unemployed (and job seeking),White,English,United States,Male,Yes
628826d3e0dede97d0050f53,5f4efbf90b8cc113d26921a4,AWAITING REVIEW,2022-05-20 23:40:06.265000,2022-05-20 23:47:26.568000,440.303,23,1079,1,100,,7FEF15D8,United States,United States,Other,White,English,United States,Male,Yes
6288281b2f1d54d019437f72,59a4b7e0c9281e0001c1bc8f,AWAITING REVIEW,2022-05-20 23:45:39.142000,2022-05-21 00:04:14.324000,1115.182,28,614,1,100,,7FEF15D8,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
628828332f1d54d019437f73,611a2a2eba6e2d502cee04b5,AWAITING REVIEW,2022-05-20 23:46:05.168000,2022-05-21 00:07:44.883000,1299.715,21,555,1,100,,7FEF15D8,United States,United States,Full-Time,White,English,United States,Male,No
