session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
62883d5450bf81e8a4987faa,5fc50bb38378c80ac88354ef,AWAITING REVIEW,2022-05-21 01:18:04.698000,2022-05-21 01:39:00.641000,1255.943,64,1861,6,99,,7FEF15D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",Black,English,United States,Female,No
62883d579d5b638995c8f324,6175829c31cba7108908d548,AWAITING REVIEW,2022-05-21 01:16:11.031000,2022-05-21 01:47:23.357000,1872.326,67,1219,3,100,,7FEF15D8,United States,United States,DATA EXPIRED,Black,English,United States,Female,DATA EXPIRED
62883d5a0c87e166919ee71e,615fad239fd8b6f7c048057a,AWAITING REVIEW,2022-05-21 01:16:14.834000,2022-05-21 01:27:04.567000,649.733,35,1265,22,93,,7FEF15D8,United States,United States,Full-Time,Black,English,United States,Male,DATA EXPIRED
62883dfa0edf7f08d10e5125,612bfa26437162073ed2077b,AWAITING REVIEW,2022-05-21 01:18:54.877000,2022-05-21 01:31:11.366000,736.489,20,473,8,97,,7FEF15D8,Nigeria,United States,Part-Time,Black,English,United States,Female,Yes
62883e98971e77f97ffc1194,5cbe04b4f429ff00159de30e,AWAITING REVIEW,2022-05-21 01:21:39.194000,2022-05-21 01:35:29.858000,830.664,36,2645,7,100,,NOCODE,Zimbabwe,United States,DATA EXPIRED,Black,English,United States,Female,No
62883ed8199b5dac1fdf7fc7,54847f1cfdf99b07b28f22f9,AWAITING REVIEW,2022-05-21 01:22:35.851000,2022-05-21 01:46:31.979000,1436.128,49,2625,5,100,,7FEF15D8,United States,United States,Other,Black,English,United States,Male,DATA EXPIRED
62883f80d3fb3a9d44adc4c0,6108d6efa698e3dbe3b313d3,AWAITING REVIEW,2022-05-21 01:30:55.752000,2022-05-21 02:20:14.956000,2959.204,29,1000,2,100,,Please see inbox,United States,United States,DATA EXPIRED,Black,English,United States,Male,Yes
6288456109f7fac6a8158774,5fa4c21a04bc5912180291bc,AWAITING REVIEW,2022-05-21 01:50:30.712000,2022-05-21 02:17:31.229000,1620.517,40,1879,4,100,,7FEF15D8,United States,United States,Unemployed (and job seeking),Black,English,United States,Male,No
628847342098dfd75ee9cb32,6081adb85a8992a84093ed21,AWAITING REVIEW,2022-05-21 01:58:19.183000,2022-05-21 02:26:25.377000,1686.194,28,521,3,100,,7FEF15D8,United States,United States,Full-Time,Black,English,United States,Male,Yes
628847d99704c648c8bdb353,5eeba783164680119f2e30c7,RETURNED,2022-05-21 02:01:06.716000,,10361.741866,26,1982,10,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62884981058689576fa445ee,5c7d7e86848d2a0016b3dd3e,AWAITING REVIEW,2022-05-21 02:08:06.619000,2022-05-21 02:24:12.716000,966.097,46,1783,8,99,,7FEF15D8,United States,United States,DATA EXPIRED,Black,English,United States,Male,No
62884b500807552b10f0a825,5999a1096b939900012da1c7,AWAITING REVIEW,2022-05-21 02:16:06.490000,2022-05-21 02:34:45.933000,1119.443,36,1205,5,100,,7FEF15D8,United States,United States,Full-Time,Black,English,United States,Female,No
62884ca07ce773b12b0232c9,603862f99e00971c55fe0874,AWAITING REVIEW,2022-05-21 02:21:23.077000,2022-05-21 02:38:48.432000,1045.355,31,1389,3,100,,7FEF15D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",Black,English,United States,Male,No
62884cf9c73cef4d9b458a95,6095fc75ab1d101e060d808b,AWAITING REVIEW,2022-05-21 02:24:33.970000,2022-05-21 02:40:53.651000,979.681,37,1487,7,99,,7FEF15D8,United States,United States,Full-Time,Black,English,United States,Male,No
62884e658182ef3585ab9f32,60e68d7dc0d998d1c7842a65,AWAITING REVIEW,2022-05-21 02:28:57.051000,2022-05-21 02:48:55.767000,1198.716,42,866,1,100,,7FEF15D8,United States,United States,Part-Time,Black,English,United States,Male,No
628855c10df112237c2aa8d5,6287e73ca521bd85022f8b75,AWAITING REVIEW,2022-05-21 03:00:21.381000,2022-05-21 03:06:45.923000,384.542,26,3,0,100,,7FEF15D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",Black,English,United States,Male,No
62885740aef93d29d44cac52,5ff94e71c59814230b0fb713,AWAITING REVIEW,2022-05-21 03:06:44.471000,2022-05-21 03:20:41.292000,836.821,30,1288,5,100,,7FEF15D8,United States,United States,Other,Black,English,United States,Male,Yes
6288575305a1e893bbf643b2,62348a6d578faf950d112cd3,AWAITING REVIEW,2022-05-21 03:07:08.704000,2022-05-21 03:20:53.656000,824.952,29,306,0,100,,7FEF15D8,United States,United States,Full-Time,Black,English,United States,Male,No
62885e826640b33adc2312f7,615f2b3f0eafbabe579b889a,AWAITING REVIEW,2022-05-21 03:37:42.478000,2022-05-21 03:50:40.977000,778.499,32,1515,19,96,,7FEF15D8,United States,United States,Full-Time,Black,English,United States,Male,No
62886134dd2cc415639a7092,5fad961b463be513d7486f86,RETURNED,2022-05-21 03:49:13.727000,,3874.923166,41,1274,19,94,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
628861e82d72dd77d9a0e148,60bea11ea6e2371d747c5d1d,AWAITING REVIEW,2022-05-21 03:57:13.816000,2022-05-21 04:19:52.525000,1358.709,34,307,5,97,,7FEF15D8,United States,United States,Part-Time,Black,English,United States,Male,Yes
628864474ec9cbc1227af7b1,5ec4a156bc5aac3819ac52f2,AWAITING REVIEW,2022-05-21 04:10:35.515000,2022-05-21 04:27:46.712000,1031.197,28,2457,9,99,,7FEF15D8,United States,United States,Full-Time,Black,English,United States,Male,Yes
6288697a31771db905c74624,5e2d3e464b8a1a33ef37b241,AWAITING REVIEW,2022-05-21 04:24:29.994000,2022-05-21 04:39:21.783000,891.789,47,1951,2,100,,7FEF15D8,United States,United States,Full-Time,Black,English,United States,Male,No
