Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63223683b3ebcc98e45e424d,60fc3be8b7778559e151b9dc,AWAITING REVIEW,2022-09-14T20:16:06.650000Z,2022-09-14T20:27:58.249000Z,,2022-09-14T20:27:58.693587Z,712,7FEF15D8,333,1,100,White/Caucasian,19,Female,White,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
632236c1c40eeb677a79b69c,5ffe6b8b773ec452c1d28adc,AWAITING REVIEW,2022-09-14T20:18:09.875000Z,2022-09-14T20:29:50.885000Z,,2022-09-14T20:29:51.241871Z,702,7FEF15D8,1527,1,100,White/Caucasian,38,Male,White,United States,United States,United States,English,No,Other
632236e172e92fa01859b2a5,5c005838232b6c0001221acf,AWAITING REVIEW,2022-09-14T20:17:40.359000Z,2022-09-14T20:34:18.500000Z,,2022-09-14T20:34:18.870803Z,999,7FEF15D8,621,1,100,White/Caucasian,23,Female,White,United States,United States,United States,English,No,Due to start a new job within the next month
632237f2aea650361773117c,611317672f863e406badad3b,AWAITING REVIEW,2022-09-14T20:22:12.630000Z,2022-09-14T20:30:02.413000Z,,2022-09-14T20:30:02.947068Z,470,7FEF15D8,892,0,100,White/Caucasian,25,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
632238979030b552b98d70fd,6149ec6d59894243dae564b5,AWAITING REVIEW,2022-09-14T20:24:59.054000Z,2022-09-14T20:35:58.006000Z,,2022-09-14T20:35:58.431187Z,659,NOCODE,36,0,100,White/Caucasian,25,Female,White,DATA_EXPIRED,United States,United States,English,Yes,Other
6322391b7f31337145108d80,631b6d4fe26a64d24c946fb1,AWAITING REVIEW,2022-09-14T20:27:10.246000Z,2022-09-14T20:36:58.709000Z,,2022-09-14T20:36:59.080810Z,589,7FEF15D8,5,0,100,White/Caucasian,26,Male,White,United States,United States,United States,English,No,Due to start a new job within the next month
63223965f9052d97a9457759,5f08fba1b722b7189ac46394,AWAITING REVIEW,2022-09-14T20:28:25.814000Z,2022-09-14T20:38:52.512000Z,,2022-09-14T20:38:53.069335Z,627,7FEF15D8,45,1,99,White/Caucasian,20,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
63223970808b61f04ff163f2,5f7672195173b4112df5ae1f,AWAITING REVIEW,2022-09-14T20:28:34.417000Z,2022-09-14T20:39:09.329000Z,,2022-09-14T20:39:09.746348Z,635,7FEF15D8,1381,0,100,White/Caucasian,25,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6322397e9ff6b4ac952bc3df,5dd3f61e7cc9733d1f71bd48,AWAITING REVIEW,2022-09-14T20:28:49.473000Z,2022-09-14T20:39:26.358000Z,,2022-09-14T20:39:26.758257Z,637,7FEF15D8,481,0,100,White/Caucasian,38,Male,White,United States,United States,United States,English,No,Full-Time
632239cfbdba871c4cb7664c,60f315a05d516a5bc9db732c,AWAITING REVIEW,2022-09-14T20:30:10.314000Z,2022-09-14T20:53:54.064000Z,,2022-09-14T20:53:54.902551Z,1424,7FEF15D8,1039,3,100,White/Caucasian,54,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
