Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
631bd871e902f7af77e5f6f3,62ba9df7bf9e8e2ef0501f94,AWAITING REVIEW,2022-09-10T00:21:12.089000Z,2022-09-10T00:46:49.158000Z,,2022-09-10T00:46:49.465659Z,1538,7FEF15D8,287,0,100,White/Caucasian,37,Male,White,United States,United States,United States,English,No,Part-Time
631bd8b23af53108328955a9,627d0848837a688546a3dfbe,AWAITING REVIEW,2022-09-10T00:22:13.666000Z,2022-09-10T00:35:06.986000Z,,2022-09-10T00:35:07.373737Z,774,7FEF15D8,141,0,100,White/Caucasian,29,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
631bd8e68922ee016069e783,5f9e612e5e10814115cc780d,AWAITING REVIEW,2022-09-10T00:23:06.107000Z,2022-09-10T00:39:20.141000Z,,2022-09-10T00:39:20.485612Z,975,7FEF15D8,1305,0,100,White/Caucasian,48,Male,White,United States,United States,United States,English,No,Other
631bd9ea478ac057a7242d37,59601fb03d5051000114b843,AWAITING REVIEW,2022-09-10T00:27:24.012000Z,2022-09-10T00:38:51.204000Z,,2022-09-10T00:38:51.601094Z,688,7FEF15D8,45,0,100,White/Caucasian,24,Male,White,United States,United States,United States,English,No,Full-Time
631bdac512c32cb28d5d436a,60de54d2e2e86a2e26d37fa2,AWAITING REVIEW,2022-09-10T00:33:11.904000Z,2022-09-10T00:43:44.785000Z,,2022-09-10T00:43:45.182100Z,633,7FEF15D8,146,1,100,White/Caucasian,23,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
631bdae8e8a71973a6df51b6,614f2b16d983019aeace1fe5,AWAITING REVIEW,2022-09-10T00:31:40.327000Z,2022-09-10T00:42:22.961000Z,,2022-09-10T00:42:23.301698Z,643,7FEF15D8,595,1,100,White/Caucasian,27,Female,White,United States,United States,United States,English,No,Full-Time
631bdb98e61936091efd2175,5c3388fa01439b0001a0adfe,AWAITING REVIEW,2022-09-10T00:34:42.943000Z,2022-09-10T00:49:06.487000Z,,2022-09-10T00:49:07.150234Z,864,7FEF15D8,2653,0,100,White/Caucasian,39,Female,White,United States,United States,United States,English,No,Full-Time
631bdbd9b1206d6ae22c8b76,5ba855d47c0ebe0001272f70,AWAITING REVIEW,2022-09-10T00:35:42.537000Z,2022-09-10T00:46:17.706000Z,,2022-09-10T00:46:18.028159Z,636,7FEF15D8,1400,1,100,White/Caucasian,28,Male,White,Albania,United States,United States,Albanian,No,DATA_EXPIRED
631bdbe40a005bcab689559a,630d42ab004b0f34fcf4b52e,AWAITING REVIEW,2022-09-10T00:35:53.519000Z,2022-09-10T00:47:33.776000Z,,2022-09-10T00:47:34.204102Z,701,7FEF15D8,11,0,100,White/Caucasian,37,Male,White,United States,United States,United States,English,No,Full-Time
631bdcb570b1aa01f219080d,60fd4144794d17b47f9dc4ad,AWAITING REVIEW,2022-09-10T00:39:20.288000Z,2022-09-10T00:48:57.325000Z,,2022-09-10T00:48:57.686681Z,578,7FEF15D8,192,0,100,White/Caucasian,21,Female,White,United States,United States,United States,English,Yes,Full-Time
